coc_number,category,homeless_count
VA-503,Major Cities,243
VA-504,Rural CoCs,183
VA-505,Other Urban CoCs,439
VA-507,Other Urban CoCs,135
VA-508,Rural CoCs,112
VA-513,Rural CoCs,304
VA-514,Suburban CoCs,200
VA-521,Rural CoCs,718
VA-600,Other Urban CoCs,221
VA-601,Suburban CoCs,987
VA-602,Suburban CoCs,134
VA-603,Other Urban CoCs,226
VA-604,Suburban CoCs,374
VI-500,Rural CoCs,486
VT-500,Rural CoCs,932
VT-501,Other Urban CoCs,359
WA-500,Major Cities,12112
WA-501,Rural CoCs,5666
WA-502,Other Urban CoCs,1245
WA-503,Suburban CoCs,1628
WA-504,Suburban CoCs,858
WA-508,Suburban CoCs,795
WI-500,Rural CoCs,3147
WI-501,Major Cities,871
WI-502,Suburban CoCs,275
WI-503,Other Urban CoCs,614
WV-500,Rural CoCs,108
WV-501,Rural CoCs,190
WV-503,Suburban CoCs,317
WV-508,Rural CoCs,628
WY-500,Rural CoCs,639
